Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,win_x86,win_x86-64,win_x86-64_cmprssptrs,linux_x86,linux_x86-64,linux_x86-64_cmprssptrs,linux_ppc,linux_ppc-64,linux_ppc-64_cmprssptrs,linux_ppc-64_le,linux_ppc-64_cmprssptrs_le,linux_390,linux_390-64,linux_390-64_cmprssptrs,aix_ppc,aix_ppc-64,aix_ppc-64_cmprssptrs,zos_390,zos_390-64,zos_390-64_cmprssptrs,linux_arm,osx_x86-64,osx_x86-64_cmprssptrs,bsd_x86-64_cmprssptrs,sunos_sparcv9-64_cmprssptrs,linux_aarch64,linux_aarch64_cmprssptrs,linux_riscv64,linux_riscv64_cmprssptrs
variation:Mode501,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no
variation:Mode503,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no
variation:Mode504,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no
variation:Mode505,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no
variation:Mode506,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no
variation:Mode507,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no
variation:Mode550,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode551,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode553,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode554,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode555,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode556,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode557,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode590,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode591,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode592,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
